AA,South American fur seal,Arctocephalus australis,
AF,New Zealand fur seal,Arctocephalus forsteri,
AG,Antarctic fur seal,Arctocephalus gazella,
AT,Guadalupe fur seal,Arctocephalus townsendi,
BA,Northern minke whale,Balaenoptera acutorostrata,
BB,Sei whale,Balaenoptera borealis,
BE,Baird's beaked whale,Berardius bairdii,
BG,North Atlantic right whale,Eubalaena glacialis,
BJ,North Pacific right whale,Eubalaena japonica,
BL,Blue whale,Balaenoptera musculus,
BM,Bowhead whale,Balaena mysticetus,
BP,Fin whale,Balaenoptera physalus,
BX,Bryde's whale,Balaenoptera brydei,
CC,Commerson's dolphin,Cephalorhynchus commersoni,
CU,Northern fur seal,Callorhinus ursinus,
DC,Longbeaked common dolphin,Delphinus capensis,
DD,Shortbeaked common dolphin,Delphinus delphis,
DL,Beluga whale,Delphinapterus leucas,
EA,Southern right whale,Eubalaena australis,
EB,Bearded seal,Erignathus barbatus,
EJ,Steller sea lion,Eumetopias jubatus,
EL,Sea otter,Enhydra lutris,
ER,Gray whale,Eschrichtius robustus,
EW,Eden's whale,Balaenoptera edeni,
FA,Pygmy killer whale,Feresa attenuata,
GG,Risso's dolphin,Grampus griseus,
GL,Longfinned pilot whale,Globicephala melas,
GM,Shortfinned pilot whale,Globicephala macrorhynchus,
HK,Hooker's sea lion,Phocarctos hookeri,
HL,Leopard seal,Hydrurga leptonyx,
HP,Southern bottlenose whale,Hyperoodon planifrons,
KB,Pygmy sperm whale,Kogia breviceps,
LA,Blackchinned dolphin,Lagenorhynchus australis,
LB,Northern right-whale dolphin,Lissodelphis borealis,
LC,Hourglass dolphin,Lagenorhynchus cruciger,
LD,Dusky dolphin,Lagenorhynchus obscurus,
LH,Fraser's dolphin,Lagenodelphis hosei,
LL,White-beaked Dolphin,Lagenorhynchus albirostris,
LO,Pacific white-sided dolphin,Lagenorhynchus obliquidens,
LP,Southern right-whale dolphin,Lissodelphis peronii,
LS,Atlantic white-sided dolphin,Lagenorhynchus acutus,
LW,Weddell seal,Leptonychotes weddellii,
LX,Crabeater seal,Lobodon carcinophaga,
MA,Northern elephant seal,Mirounga angustirostris,
MD,Blainville's beaked whale,Mesoplodon densirostris,
MH,Hawaiian monk seal,Monachus schauinslandi,
ML,Southern elephant seal,Mirounga leonina,
MM,Narwhal,Monodon monoceros,
MN,Humpback whale,Megaptera novaeangliae,
MS,Stejneger's beaked whale,Mesoplodon stejnegeri,
MU,Mesoplodon beaked whale,Mesoplodon spp.,
NP,Finless porpoise,Neophocaena phocaenoides,
OF,South American sea lion,Otaria flavascens,
OO,Killer whale,Orcinus orca,
OR,Walrus,Odobenus rosmarus,
OX,Ross seal,Ommatophoca rossii,
PB,Dall's porpoise, black type,Phocoenoides dalli: black type
PC,False killer whale,Pseudorca crassidens,
PD,Dall's porpoise, dalli type,Phocoenoides dalli dalli
PE,Melonheaded whale,Peponocephala electra,
PF,Ribbon seal,Histriophoca fasciata,
PH,Ringed seal,Pusa hispida,
PL,Spotted seal,Phoca largha,
PM,Sperm whale,Physeter macrocephalus,
PP,Harbor porpoise,Phocoena phocoena,
PT,Dall's porpoise, truei type,Phocoenoides dalli truei
PV,Harbor seal,Phoca vitulina,
PX,Dall's porpoise, type unknown,Phocoenoides dalli: type unknown
SA,Pantropical spotted dolphin,Stenella attenuata,
SB,Rough-toothed dolphin,Steno bredanensis,
SC,Striped dolphin,Stenella coeruleoalba,
SF,Atlantic spotted dolphin,Stenella frontalis,
SG,Spotted dolphin (E. Pacific),Stenella attenuata graffmani,
SL,Spinner dolphin,Stenella longirostris,
TM,Caribbean manatee,Trichechus manatus,
TT,Bottlenose dolphin,Tursiops truncatus,
UD,Unidentified dolphin/porpoise,Unidentified dolphin/porpoise,
UM,Polar bear,Ursus maritimus,
UO,Unidentified otariid,Unidentified otariid,
UP,Unidentified pinniped,Unidentified pinniped,
US,Unidentified phocid,Unidentified phocid,
UW,Unidentified whale,Unidentified whale,
UX,Unidentified small whale,Unidentified small whale,
UZ,Unidentified large whale,Unidentified large whale,
ZA,Arnoux's beaked whale,Berardius arnuxii,
ZC,California sea lion,Zalophus californianus,
ZW,Galapagos sea lion,Zalophus wollebaeki,
ZX,Cuvier's beaked whale,Ziphius cavirostris,
